"Species","X","Y"
"M.reticulatus",471452.71208992,1013537.90260255
"M.reticulatus",474255.470887832,1013499.31516893
"M.reticulatus",471506.252610354,1018359.72888347
"M.reticulatus",475755.628010345,1017347.10738395
"M.reticulatus",479471.062963512,1017579.34577017
"M.reticulatus",478749.943901062,1008677.56358868
"M.reticulatus",480346.173921048,1014757.46837041
"M.reticulatus",518514.312604663,908932.754150408
"M.reticulatus",518514.312604663,908932.754150408
"M.reticulatus",553083.150284645,903300.306617276
"M.reticulatus",553083.467450959,903034.971630173
"M.reticulatus",559480.035407836,889157.110551241
"M.reticulatus",556536.549110662,890238.988649301
"M.reticulatus",542003.198151797,886654.408380809
"M.reticulatus",525913.708434732,912264.148112963
"M.reticulatus",551187.625483284,874897.384041243
"M.reticulatus",512928.37020733,915398.122948119
"M.reticulatus",517618.438427593,907174.946110478
"M.reticulatus",518317.35520723,906920.031542201
"M.reticulatus",540875.813393312,884264.371654493
"M.reticulatus",548975.588824043,876927.556997349
"M.reticulatus",547522.054948399,875348.226367578
"M.reticulatus",547522.572737104,875348.481179203
"M.reticulatus",541707.855748347,884195.070856939
"M.reticulatus",540875.195099305,884265.664577803
"M.reticulatus",537840.544334863,883366.741488681
"M.reticulatus",476929.82126393,1020489.93347384
"M.reticulatus",560207.48675215,888732.133135942
"M.reticulatus",559331.140638878,890330.769306481
"M.reticulatus",555761.756000054,884913.710469149
"M.reticulatus",564204.821447042,893462.863829002
"M.reticulatus",564204.821447042,893462.863829002
"M.reticulatus",556486.412481199,890063.583508749
"M.reticulatus",551334.257554623,897224.170696063
"M.reticulatus",554191.920639779,896140.819641182
"M.reticulatus",554203.947407114,895998.76946013
"M.reticulatus",556757.862491816,904719.627783263
"M.reticulatus",556770.749733599,904917.153348975
"M.reticulatus",577531.85522285,817071.619120506
"M.reticulatus",594190.694351309,753678.872300513
"M.reticulatus",569414.48073414,938402.554330369
"M.reticulatus",559372.148511792,890067.502568363
"M.reticulatus",560254.991258989,888616.49880529
"M.reticulatus",560201.723885026,888788.124690368
"M.reticulatus",560216.292709444,889135.677316067
"M.reticulatus",559696.713990012,888876.726308202
"M.reticulatus",559752.95514897,888561.448679717
"M.reticulatus",592624.882496723,749880.093006093
"M.reticulatus",603459.753570627,774381.501161386
"M.reticulatus",553947.673422534,901963.957597387
"M.reticulatus",476911.726871532,1021398.74232418
"M.reticulatus",543300.115292014,885458.16259373
"M.reticulatus",513840.292109358,917809.891908395
"M.reticulatus",511810.954381073,920335.309939714
"M.reticulatus",511810.954381073,920335.309939714
"M.reticulatus",554203.090442124,899774.078452774
"M.reticulatus",595699.575487152,754386.059076658
"M.reticulatus",599020.596438718,766123.427722157
"M.reticulatus",598046.833195168,758451.540471266
"M.reticulatus",480016.67341873,1014912.4162955
"M.reticulatus",589325.555812427,799195.699339738
"M.reticulatus",584570.068731279,818154.359751564
"M.reticulatus",557112.136685369,896853.64944146
"M.reticulatus",559265.767099321,890372.067976074
"M.reticulatus",599644.945486022,773980.794200735
